vulnerability,Baseline,MAIAN,Mythril,Semgrep,Slither,Solhint,VeriSmart
Reentrancy,MAIAN,100.0,0,0,0,0,0
Access Control,MAIAN,100.0,51.724137931034484,0,66.97247706422019,89.65517241379311,59.48275862068966
Arithmetic,MAIAN,100.0,0,0,0,0,0
Unchecked Return Values,MAIAN,100.0,0,0,0,0,0
DoS,MAIAN,100.0,0,0,60.824742268041234,14.15929203539823,0
Bad Randomness,MAIAN,100.0,0,0,0,0,0
Front-Running,MAIAN,100.0,0,0,0,0,0
Time manipulation,MAIAN,100.0,0,0,0,0,0
Reentrancy,Mythril,0,100.0,0,59.538784067085956,30.95723014256619,0
Access Control,Mythril,12.295081967213115,100.0,1.0245901639344261,78.7746170678337,78.48360655737704,56.67351129363449
Arithmetic,Mythril,0,100.0,0,27.33812949640288,0,57.29537366548043
Unchecked Return Values,Mythril,0,100.0,0,96.55172413793103,96.7741935483871,0
DoS,Mythril,0,100.0,0,39.14728682170542,31.679389312977097,0
Bad Randomness,Mythril,0,100.0,0,18.085106382978726,10.526315789473683,0
Front-Running,Mythril,0,100.0,0,0,0,0
Time manipulation,Mythril,0,100.0,0,94.60154241645245,98.99749373433583,0
Reentrancy,Semgrep,0,0,100.0,77.77777777777779,33.33333333333333,0
Access Control,Semgrep,0,83.33333333333334,100.0,100.0,16.666666666666664,0
Arithmetic,Semgrep,0,0,100.0,0,0,0
Unchecked Return Values,Semgrep,0,0,100.0,0,0,0
DoS,Semgrep,0,0,100.0,0,0,0
Bad Randomness,Semgrep,0,0,100.0,50.0,100.0,0
Front-Running,Semgrep,0,0,100.0,0,0,0
Time manipulation,Semgrep,0,0,100.0,0,0,0
Reentrancy,Slither,0,27.95275590551181,0.6910167818361304,100.0,49.076773566569486,0
Access Control,Slither,6.218057921635435,30.664395229982965,0.5110732538330494,100.0,83.72881355932203,34.8936170212766
Arithmetic,Slither,0,37.4384236453202,0,100.0,0,64.63414634146342
Unchecked Return Values,Slither,0,20.93457943925234,0,100.0,79.07407407407408,0
DoS,Slither,12.114989733059549,20.824742268041238,0,100.0,21.020408163265305,0
Bad Randomness,Slither,0,11.564625850340136,3.4013605442176873,100.0,47.61904761904761,0
Front-Running,Slither,0,0,0,100.0,0,0
Time manipulation,Slither,0,57.68025078369906,0,100.0,99.37888198757764,0
Reentrancy,Solhint,0,25.894378194207835,0.5084745762711864,96.92898272552783,100.0,0
Access Control,Solhint,5.014464802314368,18.39577329490874,0.048192771084337345,51.592689295039165,100.0,24.808795411089864
Arithmetic,Solhint,0,0,0,0,100.0,0
Unchecked Return Values,Solhint,0,21.015761821366024,0,83.88998035363457,100.0,0
DoS,Solhint,3.65296803652968,19.080459770114942,0,25.75,100.0,0
Bad Randomness,Solhint,0,10.204081632653061,11.34020618556701,80.45977011494253,100.0,0
Front-Running,Solhint,0,0,0,0,100.0,0
Time manipulation,Solhint,0,46.58018867924528,0,82.58064516129032,100.0,0
Reentrancy,VeriSmart,0,0,0,0,0,100.0
Access Control,VeriSmart,10.566615620214396,42.592592592592595,0,63.565891472868216,79.47932618683001,100.0
Arithmetic,VeriSmart,0,37.096774193548384,0,30.49482163406214,0,100.0
Unchecked Return Values,VeriSmart,0,0,0,0,0,100.0
DoS,VeriSmart,0,0,0,0,0,100.0
Bad Randomness,VeriSmart,0,0,0,0,0,100.0
Front-Running,VeriSmart,0,0,0,0,0,100.0
Time manipulation,VeriSmart,0,0,0,0,0,100.0
